userName,score,at,content,Day,Month,Year,Hour,Minute,Sec
Heri Ajah,2,2024-09-14 15:38:30,Saya komplain berkali-kali tidak ditanggapi sama sekali... Chat cs jg ga ada manfaatnya... Kecewa sama Bukalapak yang sekarang padahal dulu masih bagus pelayanannya 😩😩,14,9,2024,15,38,30
defri riyadi,5,2024-09-14 14:37:23,Sangat memuaskan,14,9,2024,14,37,23
Benz,5,2024-09-14 14:01:49,Terdeteksi,14,9,2024,14,1,49
Abdul Rohman,5,2024-09-14 11:36:11,ok trbaik,14,9,2024,11,36,11
Arbani Sierantau,5,2024-09-14 11:20:58,Sangat membantu dan bermanfaat,14,9,2024,11,20,58
Aziez Abeba,5,2024-09-14 11:10:56,Mantaaabbb,14,9,2024,11,10,56
Flame Stell,1,2024-09-14 10:02:55,"Data email saya terekspos setelah cek di "" i have been pawn"" semenjak daftar akun di aplikasi ini buat teman"" yg ingin daftar harap berhati"" agar data anda tidak disalahgunakan oleh pihak yg yidak bertanggungjawab miris liat sistem keamanan aplikasi tidak safety buat keamanan penggunanya",14,9,2024,10,2,55
CHUNTERTECH,1,2024-09-14 07:40:46,"Pelayanan sekarang jadi bangs**(buruk banget) bukabantuan belum kelar baru setengah komplain udah di putus paksa oleh CS nya. Real mending jadi seller UNGU, ORANGE, IJO, BIRU ketimbang samp4h amp4s ini...!!!!!!!!!!!!",14,9,2024,7,40,46
MUHAMAD SYAFII,1,2024-09-14 06:18:53,"semakin banyak asuransi ini itu, gratis ongkir kebanyakan syarat",14,9,2024,6,18,53
Yogi 123,2,2024-09-14 04:24:55,Lapor min aplikasi bukak lapak curi saldo dana sya 900rb,14,9,2024,4,24,55
Anak Petani,1,2024-09-14 03:02:08,Bukalapak ok,14,9,2024,3,2,8
niroh Kuphle,5,2024-09-14 01:12:19,"Aplikasi oke, tercepat dan transaksi mudah ... Thankyou",14,9,2024,1,12,19
Megan,1,2024-09-13 16:06:53,bukalapak ditutup aja mending. banyak bug gak jelas,13,9,2024,16,6,53
Adez Akka,1,2024-09-13 12:52:25,Parah parah . Susahnya interaksi bantuan. Makin kesini makin parah aja nih. Mana paylaternya dqh beberapa bulan ini gak bisa dipakai. Gangguan siistem terus. Uninstal aja deh.,13,9,2024,12,52,25
Refky Irawan (Refky),1,2024-09-13 11:34:17,"Aplikasi busuk,Ampas, ganti password suruh hubungi buka bantuan udah dihubungi eh tetap ga bisa, dana dibekukan alasan fraud gak jelas , mau hapus akun ga bisa karena masih ada saldo buka emas mau jual emasnya suruh masukin password sedangkan password lupa dan ga bisa ganti, app Lol.",13,9,2024,11,34,17
Anwar el-sadat,1,2024-09-13 11:30:05,"Hati-hati kalau bisa jangan belanja disini, sarang penipuan",13,9,2024,11,30,5
TheF00L,1,2024-09-13 09:12:02,"Ol shop ga jelas. Kendala barang di ekspedisi sampai di kembalikan sama seller nya lagi. Di minta retur sama CS nya bilang ngomong sama toko nya, tokonya di tanyakan, jawaban nya sama, sampai 3 kali kayak gitu, jawabanya cuman di lembar lembar ajh. Rugi 600k . Sudah 1 tahun pun barang nya ga nyampe, minta uang nya kembali ikutin prosedur, malah di lempar sana sini. Ga jelas anda buka lapak. Menyesal saya belanja di tempat anda.",13,9,2024,9,12,2
purnadi sulismi,5,2024-09-12 22:56:45,Bagus transaksi lebih lengkap dan cepat jarang lemot..,12,9,2024,22,56,45
muh arifriansyah,5,2024-09-12 16:59:54,Cocok kalau ada Vape,12,9,2024,16,59,54
Odih Driver,5,2024-09-12 13:59:34,Amanah dan cepat responnya,12,9,2024,13,59,34
Dani Damara,1,2024-09-12 11:18:34,Aplikasi gk jls,12,9,2024,11,18,34
Den Mpo,1,2024-09-12 10:29:37,"Nama kami dulu besar di sini, performa lapak sangat bagus, namun sangat di sayangkan semnjak ada vrifikasi data, CS kurang bisa membantu, akun seller di bekukan sepihak gara² verifikasi selalu gagal dan tidak ada bantuan secara serius dari BL, namun tak jadi masalah, masih ada yg lain, Saya banyak terima kasih kepada BL yg telah membesarkan Nama Kami. BL seller / buyer makin Mahal ☝️Mari Kita lihat.? Apakah apk ini bisa bertahan atau malah di tinggalkan pengguna..??",12,9,2024,10,29,37
FotoCopy Prin ATK SimpleNet,5,2024-09-12 07:58:47,Ok,12,9,2024,7,58,47
ra sider,5,2024-09-12 07:36:20,Sangat membantu,12,9,2024,7,36,20
Herupit,5,2024-09-12 06:46:54,sebetulnya enak jg belanja atau berjualan di buka lapak..sayang sekarang udah gak se ramai dulu..coba deh kasih promo yg menarik pembeli biar rame kayak dulu..,12,9,2024,6,46,54
Hanhan Driawan,3,2024-09-12 03:12:07,Susah masuk,12,9,2024,3,12,7
Willi Lumiu,5,2024-09-12 02:34:05,Great Application 👍,12,9,2024,2,34,5
Adzqia chanel,1,2024-09-12 01:52:40,"Bukalapak saya mohon kembalikan dana saya,saya tidak merasa pesan apapu tapi kenapa ada transaksi dari bukalapak dan uang saya ke ambil otomatis",12,9,2024,1,52,40
listiyono,5,2024-09-12 00:49:45,Sangat membantu kebutuhan saya👍,12,9,2024,0,49,45
Rian Syahputra,5,2024-09-12 00:07:02,Bagus,12,9,2024,0,7,2
Muhammad lutfi Lutfi,5,2024-09-11 12:53:32,Cukup membantu dalam berbelanja online Trima ksh Bukalapak kita coba ulangi lagi,11,9,2024,12,53,32
fendiharjuni harjuni,5,2024-09-11 12:42:39,Mantaff jooooss,11,9,2024,12,42,39
Cepi Supriadi,1,2024-09-11 11:56:47,Parah saldo tiba2 ilang 100rb gatau apa2 invoice ny gk bisa di buka,11,9,2024,11,56,47
Maharani Ifw,5,2024-09-11 10:28:44,Pelayanan baik sesuai harapan pembeli,11,9,2024,10,28,44
yayasantaliasih 2022,1,2024-09-11 10:06:19,Pelayanan buruk. Tidak perlu mempersulit untuk menghapus akun secara permanen. Pelayanan tidak baik sama sekali,11,9,2024,10,6,19
maulana akhsan,1,2024-09-11 07:34:46,Jngn pake' aplikasi nih q cek trnyata bnyk data yg d rentas trus diperjual belikan di dark web Hampir saja q jadi korban penipuan Keamanan aja sangat lemah,11,9,2024,7,34,46
Barno Devayan,2,2024-09-11 06:31:31,Akun saya sudah tidak aktif ketika saya masuk setelah saya melaporkan tentang ada nya transaksi yg fiktif,11,9,2024,6,31,31
Ipan Suryaman,1,2024-09-11 05:12:33,beli karna ada diskon bukan beli untuk dapat diskon,11,9,2024,5,12,33
Anto Suhendra,5,2024-09-11 05:04:00,"Tetap Bukalapak paling oke , saya sudah lama menggunakan nya mungkin sekitar 8 tahun lebih",11,9,2024,5,4,0
Win Nartohadi,1,2024-09-11 03:21:56,"Tiba2 saldo kepotong di dana, untuk pembayaran di bukalapak. Saya juga tidak tahu untuk pembayaran apa, karena saya merasa tidak ngorder apa2. Mau chat admin juga gk bisa. Parah",11,9,2024,3,21,56
Kotahe,1,2024-09-11 03:03:34,Tidak dapat jualan sebagai seller baru,11,9,2024,3,3,34
Samsul Hidayat,4,2024-09-11 01:05:44,Josss,11,9,2024,1,5,44
agus tiono,5,2024-09-11 00:44:02,mantp,11,9,2024,0,44,2
andi hing,4,2024-09-11 00:13:09,"aplikasi yang sangat kredibel dan di percaya,kiriman paket sesaui dengan apa yang dipesan oleh pelanggan,terimakasih admin buka lapak 🙏",11,9,2024,0,13,9
Sugi Anto,5,2024-09-10 17:35:08,Good,10,9,2024,17,35,8
Star Boy,1,2024-09-10 17:34:10,ini aplikasi yang pihak pembuatan nya kenapa saldo dana saya hilang tunung kblikan,10,9,2024,17,34,10
DEDI MULYANA,5,2024-09-10 10:22:27,Terimakasih,10,9,2024,10,22,27
Farah Farah,3,2024-09-10 08:02:23,Ka kenapa saya tidak bisa daftar buka lapak ya,10,9,2024,8,2,23
I Gede Sanjaya,1,2024-09-10 07:09:36,"cs sulit di hubungi, taiii",10,9,2024,7,9,36
Hermawan 1981,5,2024-09-10 06:09:02,Mantap,10,9,2024,6,9,2
Kang Deden,5,2024-09-10 04:56:29,"Terus di kembang kan biar ada Bukalapak affiliate seperti tetangga2 sebelah,",10,9,2024,4,56,29
multikomunika phone,1,2024-09-10 04:14:06,"Bug Menu faporit gak bisa di search untuk cari produk yg sudah di save ,udah bertahun2 gak ada perbaikan ?",10,9,2024,4,14,6
hasiholan,5,2024-09-10 03:44:57,Mantap,10,9,2024,3,44,57
wayoek iryana,2,2024-09-10 01:24:22,Woiiiii duit gw nyangkut mau pake layanan live chat kg bisa mulu ud 2 hari.....,10,9,2024,1,24,22
Rwin 110125,5,2024-09-10 00:18:05,Oke bgt,10,9,2024,0,18,5
ilham cikawung asalasalan,4,2024-09-09 23:49:47,Kren,9,9,2024,23,49,47
Pesona Riel,5,2024-09-09 21:50:05,Tolong bantu saya Saldo DANA agar bisa di kembalikan di pembayaran bukalapak,9,9,2024,21,50,5
Ms Eko Prasetyo,5,2024-09-09 18:03:11,Ok,9,9,2024,18,3,11
꧁} HARD'MAN {꧂,1,2024-09-09 16:26:44,"Saya kaaih bintang 1 dulu dikarnakan pesann saya belum dikirim2 sampe 4 hr.dan gak bisa di batalkan,beebeda dgn aplikasi sblh. Kecewa. Kalau mau ku rubah bintangya,lbh konsisten lg kinerja.",9,9,2024,16,26,44
Danial Jalil,5,2024-09-09 13:00:18,Cepat meresponnya,9,9,2024,13,0,18
Rizal Nadira Menjawab,5,2024-09-09 12:20:18,Good job,9,9,2024,12,20,18
Even Padang,1,2024-09-09 09:51:20,Aplikasi ini telah membobol uang dari dana saya secara otomatis. Uang sejumlah 501.000,9,9,2024,9,51,20
Ahmad Rizky Andriawan,4,2024-09-09 09:49:41,kenapa tidak bisa melakukan pencairan saldo mitra ke Saldo Dana lagi ? apa alasannya? kalau pencairan hanya ke rekening dan menggunakan biaya admin akan merugikan pelanggan. tolong berikan solusinya!,9,9,2024,9,49,41
Abay Baye,1,2024-09-09 09:27:29,"Saldo dana saya hilang gara"" aplikasi ini. Saya tidak merasa membeli apa apa tiba tiba saldo dana hilang dan ada riwayat transaksi di bukalapak untuk membayar tagihan",9,9,2024,9,27,29
ravie rafi,1,2024-09-09 08:19:02,Pencairan dana lama sekali.,9,9,2024,8,19,2
Robin Hanapi,5,2024-09-09 07:12:31,Dapat dipercaya & cepat pengiriman !,9,9,2024,7,12,31
Yuli Yanto,1,2024-09-09 06:06:51,Aplikasi Pencuri saldo dana,9,9,2024,6,6,51
John Sierra,5,2024-09-09 03:36:14,Mantap Bukalapak,9,9,2024,3,36,14
Fatih,1,2024-09-08 15:43:39,Penipu ulung,8,9,2024,15,43,39
Ponsel Servis (HP Laptop/Comp.CCTV),5,2024-09-08 15:28:06,"Mempermudah dan mbuat bisnis saya lancar menggunakan platform ini, semoga kenyamanan traansaksi lebih di prioritaskan",8,9,2024,15,28,6
San Toso,1,2024-09-08 14:23:45,Ndelogok masak dwt sya GK bs dipulangin,8,9,2024,14,23,45
Totok Stallone,5,2024-09-08 12:20:04,Ok,8,9,2024,12,20,4
Angelina Lee SH,1,2024-09-08 12:06:19,Guys jangan mau ngasih uang 💰 ya ke pengamen apapun itu di pom bensin di angkot dimana saja mau pengamen anak anak kek remaja kek dewasa kek Badut kek pocongan kek manusia silver kek biar mikir cari uang susah,8,9,2024,12,6,19
Aviet Mulyadie,1,2024-09-08 11:51:17,Versi terbaru 5.44 search engine ga fungsi,8,9,2024,11,51,17
Akunter Hubung,1,2024-09-08 10:06:26,"Buka lapak penipuan saya ngisi pulsa 20.000 ribu dah 1 hari gak msuk2 pdahal no dah sama, tolong ganti rugi😡😡😡😡😡😡😡😡",8,9,2024,10,6,26
Putra Mayfarlando Ardiyanto,5,2024-09-08 07:07:41,BAGUS,8,9,2024,7,7,41
Sabdo Junior,5,2024-09-08 05:59:39,Ok. Apl mempermudah untuk belanja keinginannya,8,9,2024,5,59,39
Endank Estorina,1,2024-09-08 04:50:31,Pengguna baru mahal2,8,9,2024,4,50,31
Soedan Puspen Kanit,5,2024-09-08 04:01:19,Good jobs,8,9,2024,4,1,19
HD HT,1,2024-09-07 15:01:59,Penjual banyak yg tutup..,7,9,2024,15,1,59
Dede Supriyadi,5,2024-09-07 14:24:52,Manntaaaaapppppp,7,9,2024,14,24,52
Alfredo Official TV,1,2024-09-07 11:47:31,Aplikasi sampah,7,9,2024,11,47,31
Reni Anggraini,2,2024-09-07 10:06:29,Kenpa tidak bisa login bukalapak udah di hapus dinstal lagi tetep ga bisa udah 3 bulanan .. Padahalbayar paylater juga lancar .,7,9,2024,10,6,29
Yadih Wiliyanto,5,2024-09-07 07:50:12,Bantu bener,7,9,2024,7,50,12
rita rustiyanti,1,2024-09-07 06:15:24,"Pencairan dana penjualan sy kok blm masuk"" rekening ya sudah 2x24 jam ..komplain k pusat bantuan jg semua blm bisa padahal disitu untuk pencairan dana maksimal nya 1x24 jam",7,9,2024,6,15,24
Ebidemic,5,2024-09-07 03:17:40,"Padahal pembayaran lancar tapi mau pake paylater lgi GK bisa aneh ,sengaja kasih bintang 5 supaya di notice",7,9,2024,3,17,40
Dede Sambas,1,2024-09-06 18:27:20,"2 tahun lebih uang saya d pendem sama bukalapak,dengan alasan di bekukan,satu2nya aplikasi yang sangat merugikan...👎👎👎👎👎👎makanya saya ga pernah update aplikasi yang satu ini,percuma buang2 quota...aplikasi jual beli online paling ribet bintang 1 juga ga pantas",6,9,2024,18,27,20
Mamah Chenel,5,2024-09-06 15:39:50,⭐⭐⭐⭐⭐,6,9,2024,15,39,50
ElaAngita Angita,1,2024-09-06 15:04:16,Versi terbaru tp payleter tidak bisa di pakai,6,9,2024,15,4,16
Isto Rina,1,2024-09-06 14:42:26,Paylater aktif tapi tidak bisa di pakai padahal tidak punya tagihan... Jadi kasih rating 1 aja asalnya saya kasih rating 5,6,9,2024,14,42,26
Han louis,1,2024-09-06 13:00:11,"paylater tiba2 gk bisa di pakai, udah dr rahun kemarin gk bisa di pakai. mau bangkrutkah bukalapak??",6,9,2024,13,0,11
Baim Braja,5,2024-09-06 12:51:52,Barang dah terima dengan lengkap baik... terimakasih buka lapak....knapa tdk bisa pay laters....?,6,9,2024,12,51,52
Gin gin Yudiantoo,5,2024-09-06 12:29:37,Bukalapak keren....,6,9,2024,12,29,37
Ahmad Dardiri,5,2024-09-06 07:21:29,Cocok,6,9,2024,7,21,29
Ricky Bull,4,2024-09-06 06:18:34,Bagus,6,9,2024,6,18,34
Naans Vlog,5,2024-09-06 04:54:26,Sangat muda untuk mencari produk dan gampang untuk di lihat dan pembayaran yang sangat simpen....,6,9,2024,4,54,26
Satria Madhe,5,2024-09-06 03:55:38,good,6,9,2024,3,55,38
syahrul khoir,5,2024-09-06 01:02:53,Sangat membantu di apk lain susah di sini mudah...,6,9,2024,1,2,53
Lukman Harijanto (Harijanto),4,2024-09-06 01:01:21,"Bukalapak harus lebih baik lagi dalam pelayanan, khususnya soal keluhan konsumen lebih responsif. Semoga Bukalapak makin maju dan sukses.",6,9,2024,1,1,21
Bambang prasmoro,2,2024-09-06 00:48:21,Susah untuk komplain masalah pembelian yg bermasalah,6,9,2024,0,48,21
Akha Pratama,1,2024-09-06 00:46:40,"bukalapak miskin banget, penguna baru gk adapet discon atau potongan harga, promo2 nya juga miskin gk kaya toko ijo biru dan oren",6,9,2024,0,46,40
MANTAP JIWA,5,2024-09-06 00:37:41,Ok,6,9,2024,0,37,41
Mantan Channel,5,2024-09-05 15:35:44,Ok,5,9,2024,15,35,44
pri yaw tze,2,2024-09-05 11:24:35,Tidak ada layanan konsumen / call center by phone sehingga sulit berkomunikasi pada saat terjadi masalah,5,9,2024,11,24,35
rustam efendi,5,2024-09-05 09:36:55,Aplikasi bagus gk ribet,5,9,2024,9,36,55
idris,5,2024-09-05 04:00:36,tank u good job,5,9,2024,4,0,36
Hasanul Somat,1,2024-09-05 00:04:46,"paylater d bekukan, auto unistal👎👎👎",5,9,2024,0,4,46
Produk Digital,1,2024-09-04 19:17:11,"Dulu suka aplikasi ini karena costumer care fast respon , tapi sekarang cs acuh tak acuh dan beberapa di jawab oleh robot, aplikasi sementara saya uninstall",4,9,2024,19,17,11
Anwar4G,3,2024-09-04 18:17:18,"Mohon di update lagi perihal algoritma kata kunci, jadi biar ga toko yang berbintang terus yang muncul di atas, kita toko2 yang baru2 biar bisa ke acak tampil di atas",4,9,2024,18,17,18
Fadel Muhamad (Fadel),1,2024-09-04 16:08:28,"RIBET PASANG FOTO PROFIL AJA HARUS ADA MINIMAL UKURAN FOTO mbNYA, MANA SUSAH NYARINYA HARUS DIKECILIN, TAII",4,9,2024,16,8,28
Herzanto “R-jan Yopan”,5,2024-09-04 11:25:48,Pokoke oke 👍🏼,4,9,2024,11,25,48
Iam ica,1,2024-09-04 07:47:43,respn cs susah,4,9,2024,7,47,43
Yudi Yunaka,5,2024-09-04 05:49:33,Semakin lengkap..tinggal promo murahnya dibanyakin biar gk kalah sama tetangga..mantap,4,9,2024,5,49,33
"Qohhar M, Abd",5,2024-09-03 16:28:50,"Selamat tinggal Bukalapak, terimakasih sudah menemaniku selama ini 😭",3,9,2024,16,28,50
Rofi'ud Jabbar,1,2024-09-03 06:19:49,Kenapa Akun Saya Tidak Aktif . Padahal Saya Baru Buat 1 hari yang kalau . kenapa Saya Gak Bisa Login Ulang,3,9,2024,6,19,49
sultan ghudzamir,5,2024-09-03 04:00:39,Mantap,3,9,2024,4,0,39
Muhammad Aidil,5,2024-09-03 01:46:36,Luar biasa!!!,3,9,2024,1,46,36
Irfan Alawi,3,2024-09-03 00:24:55,"Kenapa keterangannya tidak ada biyaya admin,pas mau bayar ada biyaya admin 2.500 perbaiki sistem pembayarannya",3,9,2024,0,24,55
Hamster I,1,2024-09-03 00:23:45,Apk terlalu banyk iklan ga bermutu...sriap ngajuin paylater gagal terus,3,9,2024,0,23,45
Aji Pamungkas,1,2024-09-02 16:13:42,"Maf bintang 1,untuk daftar sangan susah sekali.",2,9,2024,16,13,42
ade moron,3,2024-09-02 14:56:44,Bukalapak paylater kok hilang,2,9,2024,14,56,44
Boby Prasetio,1,2024-09-02 11:07:51,Akun tiba2 non aktif stelah saldo dana saya d sedot 1 juta gimna tanggung jawab buka lapak,2,9,2024,11,7,51
Eutik Suhaya,5,2024-09-02 10:34:30,Baik baik aja selama sy belanja di bukalapak,2,9,2024,10,34,30
Satrio satrio,5,2024-09-02 10:04:59,Mantap,2,9,2024,10,4,59
Mr Lixian,5,2024-09-02 09:17:09,Di update kenapa susah sekali yaa,2,9,2024,9,17,9
ardi putra,1,2024-09-02 08:40:49,"woyy aplikasi , lu ngambil2 duit di saldo dana gw emng gw transaksi apa di aplikasi loo haaa... duit buat makan lu main ambil aja .cari duit buat orang rantau itu setengah mati",2,9,2024,8,40,49
Berkah Junior,1,2024-09-02 08:10:28,Fitur buat chat cuatomer service tdk ada no wa yg tertera di apk bukalapk tdk aktif mau pengaduan juga bingung sangt sebal,2,9,2024,8,10,28
30_muhammad teven PTIK C,5,2024-09-02 05:51:55,bagu tapi susah kalo mau masuk kan ke keranjang,2,9,2024,5,51,55
Hari Marhaen,5,2024-09-02 05:01:52,"Sangat membantu saya paling murah di antara yg lain,",2,9,2024,5,1,52
andi raharjo,5,2024-09-02 04:53:10,barang sesuai antara yg dipajang dan diterima .. matur suwun bukalapak ..,2,9,2024,4,53,10
syarbunis_ MS,1,2024-09-02 03:12:22,"Aplikasi gajelas, ribet, sangat sulit untuk mengubah nmr hp saja bukannya langsung terubah malah diarahkan ke halaman lain disuruh kita untuk membaca cara²nya mengubah nmr hp, kocakk knpa gak sekali klil langsung bisa diubah coba?? 🤣 ribet bngt imi aplikasi sumpah mau ubah nmr hp doang ribetnya minta ampun🤣🤣 bukannya sekali klik langsung terubah ini malah mngarahkan ke pengaturan yg dimana kita disuruh membaca cara caranya merubah nmr hp. Ribet",2,9,2024,3,12,22
Murray Sky,5,2024-09-02 02:18:50,Mantul pokok nya,2,9,2024,2,18,50
Wandi Juandi,3,2024-09-02 01:46:04,Sangat membantu dan mempermudah,2,9,2024,1,46,4
Ukki Roials,1,2024-09-01 14:56:03,"Kabupaten/Kota tidak Valid, Padahal sudah Sesuai titik Koordinat.",1,9,2024,14,56,3
Suheni Heni,5,2024-09-01 13:34:37,Sangat baik,1,9,2024,13,34,37
ffia Fia,2,2024-09-01 13:28:29,Kata nya gratis ongkir pembeli pertama -_,1,9,2024,13,28,29
Narko nrk.,5,2024-09-01 09:46:42,"Toko online yang sangat profesional... Aman, ramah dan respon sangat cepat.. Semua kebutuhan ada disini... Kemasan paket rapi dan sangat aman..",1,9,2024,9,46,42
Wawan Sugianto,4,2024-09-01 09:24:06,LupaBapak👎👎👎,1,9,2024,9,24,6
Ari jeber,5,2024-09-01 08:26:25,mantap,1,9,2024,8,26,25
Garuda Medi,1,2024-09-01 06:13:18,Jika tidak bisa meminjam maka akan saya hapus apk ini,1,9,2024,6,13,18
King View,5,2024-09-01 05:49:44,Good,1,9,2024,5,49,44
Agus Komarudin,5,2024-09-01 05:09:25,Sangat membantu sekali,1,9,2024,5,9,25
Nanang Suhendar,1,2024-08-31 21:58:17,Sangat membantu dulu tapi sekarang udah enggak semenjak paylater tidak bisa digunakan,31,8,2024,21,58,17
anonymouse inc,1,2024-08-31 17:32:17,"Pantesan Bukalapak kalah sama toko orange, orang penjual banyak yg di bekukan tokonya,, Akun dana tidak bisa dirubah, Mau mengajukan pembukaan pembekuan gak bisa,, padahal kesalahan gak fatal Beda sama toko Oren, ada kesalahan mudah di bangkitkan tokonya, asal dengan ketentuan tidak mengulangi lagi kesalahan yg tidak fatal. Gak lama lagi juga ni makin menyusut pengguna nya..",31,8,2024,17,32,17
toyota innova,5,2024-08-31 14:46:32,Terimakasih,31,8,2024,14,46,32
Aditya Cahyo,5,2024-08-31 14:45:58,Tingkatkan promo nya...,31,8,2024,14,45,58
hediawan chexs,5,2024-08-31 11:13:06,Membantu,31,8,2024,11,13,6
Joni Susanto,5,2024-08-31 10:05:13,Sangat bagus,31,8,2024,10,5,13
Fatkhur Rohman,5,2024-08-31 07:50:19,"aplikasi telah berhenti terus, makin barah nihh",31,8,2024,7,50,19
"Edi Sugianto, C.Ht., MNLP",5,2024-08-31 05:48:47,"Good, Fitùr minta ulasannya itu matikan dong. Kita sudah ngasih ulasan. Tapi tiap buka aplikasi, selalu muncul pop up minta ulasan. Itu sangat mengganggu kenyamanan konsumen bos..",31,8,2024,5,48,47
Imam Supriyatna,5,2024-08-31 03:53:06,Saya belum bisa belanja nyicil,31,8,2024,3,53,6
Nyoman Juda,5,2024-08-30 15:45:28,"Bermanfaat sekali, mantaf 👍",30,8,2024,15,45,28
Milane Rahman,5,2024-08-30 12:43:10,"Mantap dahhh,mudah mudahan menggunakan aplikasi Bukalapak di mengecewakan",30,8,2024,12,43,10
Rudin,1,2024-08-30 11:06:11,Tolong ditingkatkan Fitur Live Chat nya. Dan Kalo bisa Dimudahkan Atas Apapun Keluhan nya. Saya Ingin Mengganti Akun Gmail Ajah. Susah Banget. Suruh Pake Nomor Baru segala. Padahal saya Tidak ingin Ganti Nomor Baru. Saya ingin Ganti Akun Gmail Sajah Yang Terkait di Bukalapak.,30,8,2024,11,6,11
fikry albirra,5,2024-08-30 10:23:32,Membantu🙏,30,8,2024,10,23,32
Baja Jay,1,2024-08-30 07:01:23,Sangat buruk,30,8,2024,7,1,23
Reviyana Win,5,2024-08-30 06:31:35,Barang Yang DiJual Memuaskan,30,8,2024,6,31,35
Kasidin Andika,1,2024-08-30 05:00:44,Kenapa saldo dana saya terus di ambil padahal saya tidak pesan apa apa dan tidak memiliki tagihan,30,8,2024,5,0,44
Mang Ruday,5,2024-08-30 04:18:50,Makasih bukalapak,30,8,2024,4,18,50
Jumadi Nuraini,1,2024-08-30 03:12:11,Pembatalan cicil emas saldonya GK masuk gmn ini buka lapak tempat pengaduan juga tidak ada katanya tunggu 3 hari dana pembatalan cicil emas masuk tapi tidak masuk2 gmn ini buka lapak tangung jawab nya,30,8,2024,3,12,11
miZunited bahard,5,2024-08-30 01:53:18,makasih bukalapak seneng ada nya apl ini lebih mudah melakukan transaksi apa saja.. maju terus bukalapak....,30,8,2024,1,53,18
Bagusaryo,5,2024-08-29 11:50:02,Good,29,8,2024,11,50,2
srijono sentulcity,5,2024-08-29 11:43:19,Top,29,8,2024,11,43,19
Rodan Tahmid,5,2024-08-29 11:37:26,pengiriman tepat waktu... mantap (Bukalapak),29,8,2024,11,37,26
Josh Bernard,1,2024-08-29 11:11:48,"Gak laku say sekarang toko anda, kita team Lazada, satu2nya toko online dengan retur tercepat dan gak pake ribet, banyak potongan harga lagih, byeeeee",29,8,2024,11,11,48
Muhammad Hadi,5,2024-08-29 10:43:59,Oke,29,8,2024,10,43,59
RIZAL ROHMAN,1,2024-08-29 10:41:23,"Aplikasi gak jelas, AKUN TIBA"" DIBLOKIR DAN SALDO GAK BISA DI CAIRKAN.",29,8,2024,10,41,23
Hengkibule84,5,2024-08-29 10:40:55,Selalu jadi yg Terbaik,29,8,2024,10,40,55
Pramajaya M W,5,2024-08-29 10:27:40,Still excelent,29,8,2024,10,27,40
iwa Hertiwa,5,2024-08-29 10:12:50,Ok n ok..Bravo Bukalapak,29,8,2024,10,12,50
Pengguna Google,1,2024-08-29 09:59:07,Pertama x belanja online dr aplikasi ini padahal menu nya makin lama makin berkurang. Tiket kereta gk ada bus gk ada. Skr paylater di bayar terus SM limit full LG mlhan GK bsa di pakai .. ya udh dech kita uninstall aja. Selamat tinggal bukalapak.,29,8,2024,9,59,7
Davidgunawanblitar,5,2024-08-29 09:15:42,Good job man,29,8,2024,9,15,42
Iskandar Salam Palilu,4,2024-08-29 07:51:30,Klu saat ini bukalah beda dengan yg dulu,29,8,2024,7,51,30
purwandi giri,5,2024-08-29 07:42:17,Sejauh ini puas.makasih buka lapak,29,8,2024,7,42,17
Muhamad Rizky Topansyah,4,2024-08-29 06:40:31,"bagus, cuman ga pernah dpet voucher diskon beda dg app sebelah banayk voucher gratis ongkir, diskon, dll.",29,8,2024,6,40,31
saha nya,3,2024-08-29 06:32:21,"Biasanya pengguna baru di aplikasi sebelah ada diskon gratis ongkir pengguna pertama kali,kenapa di sini gak ada!!!",29,8,2024,6,32,21
Muhammad Rinzda Failasuf alaika,1,2024-08-29 05:59:11,susah sekali untuk mengganti nomer hp,29,8,2024,5,59,11
Yusuf Haslan,5,2024-08-29 05:32:30,Mantap,29,8,2024,5,32,30
Suryanto Hariadi,5,2024-08-29 04:55:16,Cepat tiba dialamat & aman.,29,8,2024,4,55,16
Varo Putra Ramadan,5,2024-08-29 02:42:55,Bagus cepat mantap👍,29,8,2024,2,42,55
Almira Nur Fitri,5,2024-08-29 02:00:35,Mantap,29,8,2024,2,0,35
Anton Anton,2,2024-08-28 16:07:04,sekedar masukan.. menurut saya event serbu seru di stop ajah.. mending buat potongang belanja dan potongan ongkir.. atau promo lainnya.. intinya walaupun potongan kecil tapi merata ke semua pengguna.. dan perputaran jual beli terjadi.. kalau kaya gini terus ya gk asik.. sedangkan.. si biru si oren si ijo vocher bisa di tumpuk bersamaan.. kalau di sini apa..? mesti milih salah satu dan juga vocher ongkir ajah minbelnya mahal..,28,8,2024,16,7,4
Adit Ya,1,2024-08-28 15:21:06,Apk jelek,28,8,2024,15,21,6
java film studio,2,2024-08-28 15:11:15,"Paylater saya ga bisa di gunakan parah padahal aktif,payah payah",28,8,2024,15,11,15
IRA IRAWAN,1,2024-08-28 14:24:18,Bukalapak maling semua anjink saldo gw ilang dibukalapak padahal kaga pernah transaksi tiba tiba saldo ilang anjink bukalapak maling semua,28,8,2024,14,24,18
Fandi Riswanto,1,2024-08-28 13:16:02,"Hahahaha,,ini aplikasi makin gak beres d komplain karena akun saya d hack malah aku saya d blokir",28,8,2024,13,16,2
Aqilla Alya Syifa,5,2024-08-28 10:59:38,mantap,28,8,2024,10,59,38
